p_init,p_learn,auc,accuracy,rmse,log_loss
0.6857142857142857,0.2,0.7860365052035384,0.7029988955908589,0.4462516176789456,0.581865714890895
0.6857142857142857,0.25,0.7888732626385957,0.689915894996177,0.4537949454977633,0.5986888188246764
0.6857142857142857,0.3,0.7884749225583605,0.6710559850479993,0.4623317902907552,0.6180960241178388
0.6857142857142857,0.35000000000000003,0.7876682995013273,0.6577181208053692,0.47164840576401096,0.6397727367086815
0.6857142857142857,0.4,0.7867028873458226,0.5848271174921417,0.4815861146765867,0.6635585058274693
0.8,0.05,0.7759715294891747,0.709625350437516,0.44220516845532787,0.5727504334957524
0.8,0.1,0.7821082733579001,0.7092005776909354,0.44265405479806275,0.5741505443902185
0.8,0.15000000000000002,0.7854353240884906,0.688386713108487,0.4470319108695485,0.5838853669260966
0.8,0.2,0.7854189458044663,0.6822699855577267,0.4533476810396563,0.5980026431488165
0.8,0.25,0.7851378694819005,0.6726701214850055,0.4609067911790158,0.615174138133811
0.8,0.3,0.7861126449032266,0.6685923031178319,0.46938892429227846,0.63481805985795
0.8,0.35000000000000003,0.7874403114097369,0.6466740293942741,0.4785948260833156,0.6566486078599634
0.8,0.4,0.7867286288956684,0.5848271174921417,0.48837156525623365,0.680515924717783
